                             mean          std        2.5q         25q         50q          75q      97.5q       mc err
a_subj(LH.PD-On).13       1.21451    0.0703996     1.08109     1.16596     1.21286      1.26121    1.35757  0.000376416
a_subj(LH.PD-On).14       1.11733     0.071201    0.981582     1.06871     1.11589      1.16415    1.26147  0.000515881
a_subj(LH.PD-On).15       1.31097    0.0818223     1.15474     1.25512      1.3093      1.36583    1.47445  0.000573867
a_subj(LL.Control).0      1.11329    0.0615685    0.997609      1.0706     1.11137      1.15414    1.23875  0.000354559
a_subj(LL.Control).1      1.00841    0.0653976    0.885708    0.963633     1.00685      1.05168    1.14082  0.000451441
a_subj(LL.Control).2      1.08993    0.0618128    0.973992     1.04717     1.08825      1.13111    1.21574   0.00031266
a_subj(LL.Control).3      1.03742    0.0620222    0.921452    0.994716     1.03528      1.07856    1.16456  0.000417296
a_subj(LL.Control).4     0.771784    0.0448494    0.687818    0.740983    0.770248     0.801418   0.862816  0.000282333
a_subj(LL.Control).5     0.793214    0.0476851    0.704891    0.760129    0.791394     0.824464    0.89231  0.000341538
a_subj(LL.Control).6      1.21317    0.0781442      1.0649     1.15943     1.21126      1.26534    1.37096  0.000613289
a_subj(LL.Control).7      0.90999    0.0527779    0.811176    0.873461    0.908648     0.944484    1.01847  0.000278824
a_subj(LL.Control).8      1.17273    0.0726693     1.03552     1.12236     1.17112      1.22085    1.31941  0.000494655
a_subj(LL.Control).10     1.07295     0.063149    0.954882     1.02912     1.07136      1.11481    1.20074  0.000325206
a_subj(LL.Control).11    0.863222    0.0496227    0.770716    0.828695    0.862099     0.895906   0.964672  0.000263481
a_subj(LL.Control).12     1.19647    0.0716447     1.06098     1.14755     1.19503      1.24388    1.34202  0.000433764
a_subj(LL.Control).13    0.903364    0.0529694    0.803119    0.866724    0.901788     0.938733    1.01045  0.000299866
a_subj(LL.Control).14     1.28311     0.081546     1.12764     1.22718     1.28079       1.3374    1.44764  0.000619703
a_subj(LL.Control).15    0.942595    0.0548704    0.840331    0.904618    0.940894     0.978803    1.05465  0.000401385
a_subj(LL.PD-Off).0       1.02591    0.0542297    0.923988    0.988604     1.02451      1.06159    1.13605  0.000332703
a_subj(LL.PD-Off).1       1.18928    0.0748785     1.04805      1.1377     1.18786      1.23921    1.33969  0.000505659
a_subj(LL.PD-Off).2      0.956814    0.0481427    0.866325    0.923731    0.955505       0.9885    1.05422  0.000229404
