                              mean          std       2.5q        25q          50q         75q       97.5q       mc err
v_subj(SL.PD-Off).5     -0.0119655    0.0695091  -0.166238 -0.0534664   -0.0112239   0.0362733    0.112142   0.00437939
v_subj(SL.PD-Off).6     -0.0128461    0.0693399  -0.165705 -0.0548394   -0.0116438   0.0356069    0.110672   0.00438122
v_subj(SL.PD-Off).7    -0.00722649    0.0694606  -0.160941 -0.0486033  -0.00705933   0.0409841    0.118781   0.00439502
v_subj(SL.PD-Off).8     -0.0122909    0.0689948  -0.165293 -0.0534827    -0.011464   0.0353777     0.11111   0.00437503
v_subj(SL.PD-Off).9     -0.0128985    0.0696117  -0.167415   -0.05453   -0.0119345   0.0354991    0.110767   0.00439914
v_subj(SL.PD-Off).10   -0.00997756    0.0684851  -0.160879 -0.0509744  -0.00925345   0.0376696     0.11352   0.00435077
v_subj(SL.PD-Off).11    -0.0126203    0.0689309  -0.164644 -0.0540161   -0.0116867    0.035407    0.110589   0.00436847
v_subj(SL.PD-Off).12    -0.0191704     0.069695  -0.173938 -0.0607361   -0.0168624   0.0290228    0.103511   0.00443684
v_subj(SL.PD-Off).13    -0.0116549    0.0693401  -0.164826   -0.05299    -0.010886   0.0364934    0.112478   0.00436483
v_subj(SL.PD-Off).14    -0.0122851    0.0694671  -0.167141 -0.0534578   -0.0116098   0.0360761     0.11078   0.00437766
v_subj(SL.PD-Off).15     -0.011339    0.0690267  -0.165608 -0.0526222   -0.0106528   0.0370641    0.111428   0.00435876
v_subj(SL.PD-On).0       -0.106821    0.0654211   -0.24474  -0.146253     -0.10505  -0.0638799    0.023798   0.00348627
v_subj(SL.PD-On).1       -0.105773    0.0663988  -0.244882  -0.146251     -0.10436  -0.0621251   0.0271064   0.00350062
v_subj(SL.PD-On).2       -0.107999    0.0659508  -0.245165  -0.148121    -0.106017  -0.0639427   0.0227603   0.00347068
v_subj(SL.PD-On).3       -0.104829    0.0667762     -0.243  -0.145531    -0.103765  -0.0614135   0.0300005   0.00351307
v_subj(SL.PD-On).4       -0.106816    0.0662839  -0.244965  -0.146808    -0.105088  -0.0631958   0.0253663   0.00348562
v_subj(SL.PD-On).5       -0.103159    0.0670958  -0.242065  -0.143763    -0.102431  -0.0597958   0.0329376   0.00355181
v_subj(SL.PD-On).6        -0.10671    0.0666059  -0.245499  -0.147071    -0.105398  -0.0629588    0.026108    0.0035043
v_subj(SL.PD-On).7      -0.0982471    0.0677102  -0.235652  -0.140041   -0.0983768  -0.0555627   0.0406622    0.0036492
v_subj(SL.PD-On).8        -0.10637    0.0664771  -0.243971  -0.146683    -0.104863  -0.0628294   0.0261565   0.00350356
v_subj(SL.PD-On).9         -0.1044     0.066766  -0.243457  -0.145226    -0.103132  -0.0607939    0.030303   0.00353346
v_subj(SL.PD-On).10       -0.10595     0.066044  -0.241676  -0.146467    -0.104479  -0.0619939   0.0249818   0.00348829
v_subj(SL.PD-On).11      -0.120244    0.0676564  -0.266921  -0.160317    -0.116748  -0.0752422  0.00620723   0.00354034
v_subj(SL.PD-On).12      -0.107619    0.0662538  -0.245385  -0.147906    -0.105939   -0.063907   0.0239847   0.00347874
v_subj(SL.PD-On).13      -0.103628    0.0666456  -0.241741  -0.144041    -0.102591  -0.0600557   0.0302273   0.00355382
v_subj(SL.PD-On).14      -0.103989    0.0669017  -0.242476  -0.144668    -0.102979  -0.0606306   0.0310844    0.0035343
v_subj(SL.PD-On).15      -0.105857    0.0666137  -0.244007  -0.146282    -0.104118  -0.0622588   0.0274249   0.00350773
t(Control)                0.232347     0.009241   0.214194    0.22621     0.232364    0.238494    0.250507  4.68379e-05
t(PD-Off)                 0.239771   0.00893678   0.222222    0.23384     0.239751     0.24571    0.257341  4.48641e-05
t(PD-On)                  0.225599   0.00888573   0.208088   0.219737      0.22559    0.231434    0.243052  4.00063e-05
t_std                     0.035364   0.00392085  0.0286914  0.0326015    0.0350227   0.0377818   0.0439825  2.18265e-05
t_subj(Control).0         0.200777  0.000644068   0.199342   0.200386     0.200844    0.201238    0.201859  3.51397e-06
t_subj(Control).1         0.240353  0.000540387   0.239155    0.24002     0.240404    0.240739    0.241261  2.87413e-06
t_subj(Control).2         0.250019   0.00102188   0.247761    0.24939     0.250107    0.250751    0.251759  6.11223e-06
t_subj(Control).3         0.238414   0.00103673   0.236151   0.237761     0.238493    0.239147    0.240212  5.54073e-06
t_subj(Control).4         0.251721  0.000620123   0.250373   0.251335     0.251772    0.252158    0.252792  3.06115e-06
t_subj(Control).5         0.242495  0.000511809   0.241349   0.242183     0.242548     0.24286    0.243349  2.82733e-06
t_subj(Control).6         0.263123  0.000726155   0.261526    0.26268     0.263185    0.263638    0.264362  4.13712e-06
t_subj(Control).7         0.224481  0.000706657   0.222926   0.224043     0.224547    0.224984    0.225675  4.19204e-06
t_subj(Control).8         0.246528   0.00071488   0.244933   0.246088     0.246599    0.247038    0.247726  3.81229e-06
t_subj(Control).10        0.200697  0.000820201   0.198875    0.20019     0.200767    0.201279    0.202096  4.32587e-06
t_subj(Control).11        0.211376  0.000534052   0.210181   0.211052     0.211427    0.211755    0.212273  2.83707e-06
t_subj(Control).12        0.228804  0.000823543   0.226968   0.228304     0.228884    0.229394    0.230188  4.97451e-06
t_subj(Control).13        0.244252   0.00057174   0.242982   0.243905     0.244307    0.244657    0.245217  3.27322e-06
t_subj(Control).14        0.200714  0.000796685   0.198978   0.200223      0.20078    0.201283    0.202079  4.72868e-06
t_subj(Control).15        0.239981  0.000798492   0.238237   0.239492     0.240052     0.24055    0.241347  5.06567e-06
t_subj(PD-Off).0          0.249415   0.00104047    0.24714   0.248773     0.249497    0.250156    0.251196  6.41979e-06
t_subj(PD-Off).1          0.186522   0.00088793    0.18454   0.185985     0.186599    0.187154    0.188028   4.6298e-06
t_subj(PD-Off).2          0.245397   0.00127835   0.242619   0.244602     0.245501    0.246305    0.247591  6.35384e-06
t_subj(PD-Off).3          0.231189   0.00116366   0.228645   0.230466     0.231287    0.232026    0.233179  6.32246e-06
t_subj(PD-Off).4          0.261828   0.00137712   0.258884   0.260958     0.261914    0.262791    0.264288    7.447e-06
t_subj(PD-Off).5          0.227549  0.000894441   0.225602   0.226993     0.227619    0.228186    0.229077  5.02344e-06
t_subj(PD-Off).6          0.230093  0.000604726   0.228761   0.229724      0.23015    0.230522    0.231108  3.17834e-06
t_subj(PD-Off).7          0.183291   0.00308427   0.176431   0.181408      0.18359    0.185494     0.18844  1.82867e-05
t_subj(PD-Off).8          0.198864  0.000868468   0.196937   0.198334     0.198946    0.199481    0.200318  5.05354e-06
t_subj(PD-Off).9          0.221108  0.000592863    0.21979   0.220742     0.221167    0.221536    0.222101  3.30661e-06
t_subj(PD-Off).10         0.332669   0.00168205   0.329024   0.331629     0.332802    0.333871    0.335566  9.76511e-06
t_subj(PD-Off).11         0.253801   0.00150148   0.250497    0.25288      0.25395    0.254874     0.25634   8.3041e-06
t_subj(PD-Off).12         0.306598   0.00115857   0.304035   0.305884     0.306707    0.307426    0.308557   6.4305e-06
t_subj(PD-Off).13         0.256161   0.00107245   0.253769   0.255523     0.256271     0.25692    0.257934  6.04082e-06
t_subj(PD-Off).14         0.218216  0.000572026   0.216953   0.217859     0.218266    0.218624     0.21919  3.61918e-06
t_subj(PD-Off).15         0.234806  0.000879093   0.232878   0.234262     0.234877    0.235426    0.236319  4.80114e-06
t_subj(PD-On).0           0.222321  0.000947619   0.220222   0.221745     0.222406    0.222996    0.223912  4.85191e-06
t_subj(PD-On).1           0.204271  0.000773996   0.202543     0.2038     0.204348    0.204825    0.205558  4.21846e-06
t_subj(PD-On).2           0.214152   0.00193873   0.209837   0.212976     0.214327     0.21553    0.217408  1.13233e-05
t_subj(PD-On).3           0.215771   0.00102566    0.21355   0.215133     0.215852    0.216491    0.217557  6.18231e-06
t_subj(PD-On).4           0.234313   0.00108287   0.231928   0.233646     0.234409    0.235084    0.236163  5.77949e-06
t_subj(PD-On).5           0.196879   0.00102859   0.194601   0.196251     0.196959    0.197609    0.198642  6.47939e-06
t_subj(PD-On).6           0.219999  0.000407091   0.219094   0.219752     0.220039     0.22029    0.220681  2.29019e-06
t_subj(PD-On).7           0.235152   0.00195499   0.230825   0.233947     0.235328    0.236554    0.238446  1.09329e-05
t_subj(PD-On).8            0.18483  0.000627292   0.183439   0.184448     0.184886    0.185277    0.185887  3.24953e-06
t_subj(PD-On).9           0.200465  0.000716581   0.198886   0.200021     0.200529    0.200977    0.201674  3.77156e-06
t_subj(PD-On).10          0.319213   0.00121435   0.316515   0.318475     0.319331     0.32008    0.321238  6.93639e-06
t_subj(PD-On).11          0.232323   0.00122726   0.229655   0.231565     0.232414    0.233189    0.234454  7.20098e-06
t_subj(PD-On).12          0.309176   0.00127586   0.306404   0.308373     0.309274    0.310084    0.311378  6.24368e-06
t_subj(PD-On).13          0.245477   0.00138413    0.24247   0.244626     0.245578    0.246443    0.247899  7.50379e-06
t_subj(PD-On).14          0.181829  0.000646017   0.180379    0.18144     0.181894    0.182286     0.18291    3.734e-06
t_subj(PD-On).15          0.193815  0.000836966   0.191953   0.193306     0.193897     0.19441    0.195221  4.07279e-06
z                         0.700116   0.00898751     0.6822     0.6944     0.700156    0.705869    0.717874  6.09608e-05
z_std                     0.160012    0.0358285   0.105107   0.134858      0.15503    0.179121    0.243493  0.000291127
z_subj.0                  0.705003   0.00874343   0.687597   0.699153     0.705066    0.710907    0.721836  8.75993e-05
z_subj.1                  0.727449    0.0107208   0.706422   0.720196     0.727439    0.734666    0.748431  0.000129863
z_subj.2                  0.677364   0.00855905   0.660404   0.671605     0.677441    0.683118    0.694031  6.95658e-05
z_subj.3                  0.723673   0.00965391   0.704765   0.717173     0.723664    0.730219    0.742685  0.000113403
z_subj.4                  0.675748   0.00904911   0.657894   0.669682     0.675763    0.681857    0.693439  8.85626e-05
z_subj.5                  0.718815    0.0101023   0.698849   0.712036     0.718766    0.725691    0.738559  0.000118945
z_subj.6                  0.735447    0.0108647   0.714103   0.728068     0.735556    0.742947    0.756428  0.000165532
z_subj.7                  0.634477    0.0100604   0.614468   0.627771     0.634589    0.641248    0.654041  7.61122e-05
z_subj.8                  0.728599    0.0107398    0.70761   0.721443     0.728582    0.735855    0.749761  0.000129227
z_subj.9                  0.692789    0.0117671   0.669452   0.684925     0.692817    0.700693    0.715599  0.000115999
z_subj.10                 0.685074   0.00891712   0.667471   0.679083      0.68517    0.691095    0.702452  7.68165e-05
z_subj.11                  0.65203   0.00874745   0.634695   0.646173     0.652079    0.657947    0.668982  6.83066e-05
z_subj.12                  0.68888   0.00883457   0.671212   0.682998     0.689005    0.694864    0.706043  7.63308e-05
z_subj.13                 0.693463   0.00905102   0.675451   0.687447      0.69357    0.699573    0.711159  7.99852e-05
z_subj.14                 0.726983    0.0114266   0.704599   0.719257      0.72694    0.734611    0.749552  0.000163174
z_subj.15                 0.723676    0.0107446   0.702336   0.716423      0.72377    0.730903    0.744727  0.000121759
DIC: -24004.086444
deviance: -24119.729872
pD: 115.643428
