                              mean          std       2.5q        25q          50q         75q       97.5q       mc err
v(SH.PD-Off)             0.0246881    0.0577984 -0.0878464 -0.0128697    0.0240986   0.0612237    0.146706   0.00389426
v(SH.PD-On)             -0.0828482    0.0549016  -0.188001  -0.120335   -0.0830818  -0.0460359   0.0331554   0.00325367
v(SL.Control)           -0.0732174    0.0806332   -0.22384  -0.130795   -0.0690569  -0.0143379   0.0650027   0.00617263
v(SL.PD-Off)            -0.0124486    0.0638764  -0.155733 -0.0502342   -0.0118504   0.0320091    0.101132   0.00438385
v(SL.PD-On)              -0.106152     0.060842   -0.23483  -0.142824    -0.104152  -0.0651139   0.0118435   0.00351216
v_std                      0.02406    0.0159211  0.0020796  0.0114596    0.0213696   0.0339558    0.060267   0.00125127
v_subj(LH.Control).0    -0.0140581    0.0760286  -0.169392 -0.0634497   -0.0169135   0.0376776    0.127232   0.00524073
v_subj(LH.Control).1    -0.0128077    0.0759812  -0.166916 -0.0621378    -0.015234    0.039167    0.127956   0.00521231
v_subj(LH.Control).2    -0.0153047     0.075658  -0.169588 -0.0642387   -0.0180411   0.0365171    0.126063   0.00524698
v_subj(LH.Control).3    -0.0132054    0.0758242  -0.165974 -0.0630794    -0.016013   0.0386413    0.127348   0.00522659
v_subj(LH.Control).4    -0.0130666    0.0761576  -0.167138 -0.0628274   -0.0157459   0.0393871    0.127303   0.00521856
v_subj(LH.Control).5    -0.0152688    0.0759822  -0.169587 -0.0647873   -0.0179975   0.0364533    0.126564   0.00523445
v_subj(LH.Control).6    -0.0141491    0.0756566  -0.167554 -0.0635281   -0.0165957   0.0377332    0.126407   0.00520782
v_subj(LH.Control).7    -0.0138504    0.0759753  -0.166565 -0.0633579   -0.0169889   0.0385838    0.127006   0.00522739
v_subj(LH.Control).8    -0.0140813    0.0758402  -0.166734 -0.0641593   -0.0168135   0.0378202    0.126789    0.0052232
v_subj(LH.Control).10   -0.0135917    0.0757848  -0.167356  -0.063414   -0.0161184   0.0384059    0.127188   0.00522679
v_subj(LH.Control).11   -0.0134324     0.075796  -0.167302 -0.0630491    -0.015865   0.0383235     0.12719   0.00520868
v_subj(LH.Control).12   -0.0142137    0.0756065  -0.167763 -0.0639978   -0.0169415   0.0379357    0.126762   0.00520398
v_subj(LH.Control).13   -0.0137925    0.0759989  -0.169174  -0.063334   -0.0165058   0.0384053    0.127345   0.00523259
v_subj(LH.Control).14   -0.0133785    0.0756398  -0.164873 -0.0631153   -0.0161775   0.0387369    0.127082   0.00522625
v_subj(LH.Control).15   -0.0133259     0.075321    -0.1658 -0.0627151   -0.0162294   0.0384184    0.126634   0.00519964
v_subj(LH.PD-Off).0    0.000840616    0.0672619  -0.127751 -0.0439971  0.000158165   0.0431559      0.1433   0.00399729
v_subj(LH.PD-Off).1     0.00355904    0.0671017  -0.122489 -0.0412981   0.00217315    0.045562    0.147028    0.0039777
v_subj(LH.PD-Off).2     0.00308046    0.0672068  -0.123394 -0.0418993   0.00188744   0.0448756    0.145704   0.00398443
v_subj(LH.PD-Off).3     0.00140316    0.0672424  -0.127027 -0.0432739  0.000556957   0.0434562      0.1432   0.00398776
v_subj(LH.PD-Off).4     0.00103507    0.0670839  -0.127146 -0.0437485  0.000183106   0.0431892    0.142985   0.00398908
v_subj(LH.PD-Off).5      0.0027191    0.0676233  -0.125758  -0.042211   0.00122051   0.0445261    0.147561   0.00400115
v_subj(LH.PD-Off).6     0.00335029     0.067326  -0.124401 -0.0415174   0.00225942   0.0451911     0.14622   0.00400196
v_subj(LH.PD-Off).7     0.00421034    0.0672955  -0.123045 -0.0405056   0.00272631   0.0465167    0.147474   0.00397675
v_subj(LH.PD-Off).8     0.00231707    0.0672256  -0.125071 -0.0425339   0.00136877   0.0446801    0.145607   0.00398051
v_subj(LH.PD-Off).9     0.00311435    0.0675636  -0.125444 -0.0419871   0.00202969   0.0452773    0.145694   0.00397977
v_subj(LH.PD-Off).10  -7.62831e-05    0.0667062  -0.127592 -0.0445525 -0.000756167    0.041859    0.141308   0.00399514
v_subj(LH.PD-Off).11   0.000378119    0.0674964  -0.128497  -0.044502 -0.000565761   0.0429629    0.143145   0.00400946
